order_item_id,order_id,product_id,quantity,price
1,1,780,2,322.37
2,2,843,4,93.13
3,2,974,2,111.4
4,2,569,8,452.56
5,2,206,3,9.55
6,3,37,8,155.78
7,3,491,2,230.55
8,3,115,4,318.53
9,3,39,7,343.7
10,3,189,2,267.18
11,4,248,7,483.49
12,5,380,8,144.52
13,5,757,3,311.94
14,5,453,10,214.99
15,5,788,1,203.42
16,5,679,9,484.89
17,6,787,4,293.78
18,6,743,6,375.07
19,7,583,1,248.85
20,8,350,5,314.8
21,8,944,3,415.72
22,9,474,4,446.12
23,9,924,1,400.93
24,9,401,7,56.05
25,10,970,5,240.64
26,10,518,2,406.22
27,11,189,4,267.18
28,11,344,8,219.76
29,12,893,8,415.96
30,13,864,4,223.18
31,14,542,5,305.06
32,14,571,3,259.42
33,14,147,9,306.73
34,14,988,6,220.24
35,14,59,2,27.39
36,15,420,9,377.43
37,16,18,10,264.75
38,16,738,3,409.22
39,16,742,6,154.18
40,16,380,1,144.52
41,16,147,2,306.73
42,17,7,7,33.75
43,17,4,10,301.34
44,18,834,7,92.31
45,19,123,4,162.41
46,19,781,1,348.5
47,19,578,9,463.66
48,19,76,1,365.86
49,19,665,8,55.38
50,20,661,7,181.27
51,20,290,10,297.46
52,20,397,8,429.91
53,20,933,4,492.28
54,20,700,8,243.16
55,21,257,6,468.4
56,21,652,8,270.87
57,21,491,3,230.55
58,21,466,9,190.56
59,21,901,6,107.9
60,22,148,5,253.83
61,22,653,3,295.49
62,23,264,3,261.57
63,23,377,1,423.21
64,23,443,5,190.26
65,23,148,1,253.83
66,24,421,9,396.83
67,24,873,4,323.78
68,24,412,3,475.28
69,24,861,6,388.89
70,25,965,7,147.9
71,25,432,7,381.95
72,26,752,8,470.22
73,26,455,7,60.04
74,26,475,6,266.21
75,26,346,6,309.85
76,27,137,9,261.8
77,27,211,4,276.62
78,27,223,4,51.37
79,27,583,4,248.85
80,28,373,8,51.75
81,28,562,7,110.42
82,28,384,5,439.35
83,28,219,7,326.57
84,28,145,8,146.0
85,29,556,8,204.72
86,30,927,10,138.0
87,30,423,1,50.15
88,30,205,4,305.18
89,31,565,3,178.54
90,31,676,7,491.28
91,31,960,9,370.33
92,32,185,8,132.68
93,32,25,4,230.75
94,32,396,10,465.72
95,32,684,3,335.98
96,33,764,10,373.25
97,33,788,3,203.42
98,33,657,7,145.47
99,34,801,4,355.08
100,34,155,7,492.9
101,34,325,8,477.66
102,34,252,3,195.62
103,34,781,8,348.5
104,35,626,10,187.61
105,35,544,1,337.49
106,35,693,2,256.27
107,36,88,1,320.59
108,37,943,1,327.45
109,38,874,2,207.32
110,38,321,6,276.87
111,38,208,3,333.43
112,39,315,2,418.81
113,39,372,10,14.02
114,40,598,8,90.3
115,40,487,6,27.5
116,40,721,3,469.48
117,41,311,2,222.29
118,41,822,9,7.29
119,41,164,3,270.21
120,42,426,2,277.02
121,42,546,10,182.29
122,43,163,9,318.6
123,43,566,8,297.01
124,43,717,5,416.16
125,43,707,4,164.57
126,44,680,3,433.43
127,45,100,1,58.41
128,45,139,7,185.0
129,45,485,7,294.24
130,45,489,3,475.45
131,46,601,6,88.62
132,47,599,10,100.18
133,47,187,8,409.52
134,47,916,1,220.88
135,47,994,8,297.16
136,48,353,6,331.05
137,48,88,6,320.59
138,48,71,3,387.26
139,48,139,10,185.0
140,48,308,7,164.86
141,49,114,4,405.02
142,49,985,6,365.45
143,50,729,2,104.81
144,50,364,10,275.08
145,50,819,8,32.11
146,51,637,10,268.65
147,52,174,6,117.12
148,52,872,5,139.02
149,52,197,9,364.35
150,52,287,9,235.47
151,53,502,6,270.37
152,54,54,4,447.94
153,54,718,5,482.69
154,55,460,7,63.81
155,55,346,1,309.85
156,55,280,8,398.92
157,56,341,9,248.35
158,57,134,10,172.12
159,58,753,10,315.72
160,59,310,7,139.06
161,60,927,8,138.0
162,60,390,7,404.38
163,61,712,5,299.84
164,62,344,6,219.76
165,62,823,9,170.08
166,62,875,7,17.57
167,62,417,6,150.14
168,63,966,6,181.06
169,63,737,5,199.26
170,64,198,8,449.07
171,64,289,5,146.84
172,64,86,8,165.97
173,64,941,2,140.66
174,64,825,6,271.01
175,65,918,2,474.48
176,65,24,3,186.35
177,65,826,2,460.33
178,65,249,2,481.99
179,65,182,6,61.17
180,66,158,10,382.0
181,67,798,2,284.74
182,67,885,2,400.96
183,68,741,1,234.03
184,69,892,10,428.57
185,69,73,3,7.73
186,69,597,8,335.44
187,70,805,2,214.94
188,70,628,2,375.0
189,70,58,3,102.01
190,71,941,2,140.66
191,71,191,2,51.09
192,72,4,7,301.34
193,73,216,1,122.44
194,73,735,2,182.62
195,74,329,9,212.7
196,74,198,8,449.07
197,74,838,4,184.38
198,74,726,8,421.71
199,75,724,3,371.85
200,75,481,5,316.55
201,75,750,10,314.0
202,75,886,1,93.38
203,75,454,3,453.65
204,76,7,2,33.75
205,76,181,4,173.83
206,76,270,3,150.33
207,76,900,9,47.33
208,76,590,4,80.19
209,77,720,2,366.78
210,78,192,6,449.12
211,78,775,4,399.66
212,79,405,10,163.42
213,79,304,10,320.53
214,80,519,5,493.7
215,80,224,7,187.02
216,80,257,6,468.4
217,80,754,4,170.78
218,81,8,5,433.76
219,81,289,3,146.84
220,81,67,1,74.76
221,81,65,8,144.06
222,81,353,1,331.05
223,82,774,7,201.66
224,82,82,8,313.53
225,82,13,2,417.06
226,82,327,10,279.41
227,82,790,6,473.91
228,83,695,2,61.84
229,83,583,5,248.85
230,83,745,6,119.95
231,83,462,6,326.36
232,83,761,8,80.08
233,84,512,5,212.03
234,84,782,8,273.65
235,84,321,9,276.87
236,85,234,10,248.8
237,85,175,1,324.36
238,86,420,8,377.43
239,86,902,8,18.13
240,86,333,7,12.12
241,87,890,8,125.37
242,87,464,3,293.77
243,87,146,7,23.26
244,87,430,1,62.95
245,88,808,6,463.16
246,88,391,3,495.3
247,89,375,1,40.24
248,89,445,3,407.34
249,89,155,10,492.9
250,89,969,3,285.37
251,90,98,1,216.63
252,90,401,8,56.05
253,91,278,6,326.73
254,91,203,1,85.01
255,92,402,3,451.76
256,92,311,9,222.29
257,92,285,4,291.25
258,92,195,8,172.82
259,93,742,8,154.18
260,93,444,7,188.47
261,93,971,3,333.52
262,93,500,1,493.17
263,93,362,2,323.43
264,94,976,6,134.82
265,95,623,5,188.38
266,95,145,4,146.0
267,95,532,8,499.86
268,95,823,4,170.08
269,96,503,1,158.22
270,96,980,5,300.44
271,96,647,3,298.83
272,96,347,5,319.37
273,97,440,10,45.27
274,97,125,10,117.83
275,97,133,9,64.33
276,97,289,6,146.84
277,97,743,6,375.07
278,98,379,10,408.16
279,98,994,8,297.16
280,99,19,8,218.81
281,100,428,4,444.41
282,100,215,6,357.53
283,100,705,4,36.37
284,101,650,8,251.73
285,101,806,5,369.54
286,101,569,6,452.56
287,102,813,6,66.71
288,102,716,4,465.12
289,102,924,3,400.93
290,102,989,6,126.97
291,102,801,10,355.08
292,103,726,10,421.71
293,103,625,4,311.04
294,104,501,10,350.59
295,104,482,1,349.4
296,105,524,2,421.85
297,105,394,3,389.32
298,105,639,6,138.28
299,106,542,8,305.06
300,107,618,5,142.05
301,107,69,8,41.9
302,107,399,4,376.68
303,107,811,5,492.5
304,108,373,1,51.75
305,108,486,4,451.07
306,109,649,1,395.64
307,109,336,6,25.16
308,110,495,9,234.53
309,110,150,5,142.93
310,110,980,6,300.44
311,110,497,6,293.91
312,110,620,9,375.39
313,111,844,4,480.73
314,111,981,10,170.45
315,112,124,5,59.48
316,112,752,1,470.22
317,112,754,4,170.78
318,112,537,9,425.58
319,112,290,4,297.46
320,113,434,1,55.06
321,113,306,5,488.05
322,113,210,3,84.6
323,113,304,1,320.53
324,114,668,7,84.54
325,115,378,8,16.52
326,116,458,7,236.99
327,116,569,3,452.56
328,117,455,6,60.04
329,117,111,5,148.43
330,117,467,5,146.43
331,117,203,10,85.01
332,117,465,5,481.28
333,118,601,3,88.62
334,118,331,1,181.21
335,119,54,6,447.94
336,120,489,6,475.45
337,120,146,6,23.26
338,120,852,7,376.23
339,120,564,1,12.2
